Molecular Weight,AlogP,Smiles,IC50_nM,pChEMBL Value,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI
438.81,4.65,O=C(c1cccc(C(F)(F)F)c1Cl)N1CCc2c(ncn2-c2ccccn2)C1CF,65.5,7.18,16.37,0.33,2.53,14.08
473.8,5.76,O=C(c1cccc(C(F)(F)F)c1Cl)N1CCc2c(nc(C(F)(F)F)n2-c2ccccc2)C1,126.5,6.9,14.56,0.29,1.14,18.09
438.81,4.84,C[C@H]1c2ncn(-c3ccc(F)cn3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,10000.0,5.0,11.39,0.23,0.16,9.8
437.82,5.44,C[C@H]1c2ncn(-c3ccc(F)cc3)c2CCN1C(=O)c1cccc(C(F)(F)F)c1Cl,2041.7,5.69,13.0,0.26,0.25,14.92
439.8,4.44,C[C@H]1c2ncnc(-c3ccn[nH]3)c2CCN1C(=O)c1ccc(F)c(C(F)(F)F)c1Cl,1227.4,5.91,13.44,0.27,1.47,7.91
389.25,3.09,C[C@H]1Cn2c(nnc2-c2cnccn2)C(=O)N1Cc1cccc(Cl)c1Cl,102.6,6.99,17.95,0.37,3.9,9.1
398.82,4.26,C[C@H]1Cn2c(nnc2C2CCC2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl,13243.4,4.88,12.23,0.25,0.62,9.56
361.45,3.38,Cc1nc2c(c(-c3ccn[nH]3)n1)CC(C)N(C(=O)c1cccc(C)c1C)C2,7161.4,5.14,14.23,0.26,1.77,6.88
420.28,4.21,Cc1nc2c(c(-c3ccn[nH]3)n1)C[C@H](C)N(C(=O)c1ccc(Cl)c(F)c1Cl)C2,1180.3,5.93,14.1,0.29,1.72,7.93
405.26,4.61,CC1CN(C(=O)c2cccc(Cl)c2Cl)Cc2nnc(-c3ccc(F)cc3)n21,7810.0,5.11,12.6,0.26,0.5,10.01
438.81,4.97,CC1CN(C(=O)c2cccc(C(F)(F)F)c2Cl)Cc2nnc(-c3ccc(F)cc3)n21,11760.0,4.93,11.23,0.22,-0.04,9.66
420.82,4.66,CC1Cn2c(nnc2-c2ccccc2)CN1C(=O)c1cccc(C(F)(F)F)c1Cl,18.0,7.75,18.4,0.36,3.08,15.18
527.98,5.11,C[C@H]1Cn2c(nnc2C2CCCN(C(=O)OC(C)(C)C)C2)C(=O)N1Cc1cccc(C(F)(F)F)c1Cl,1142.9,5.94,11.25,0.23,0.83,7.38
419.43,4.09,Cc1c(C(=O)N2[C@H]3CC[C@@H]2c2nnc(-c4cscn4)n2C3)cccc1C(F)(F)F,3863.7,5.41,12.91,0.25,1.32,8.47
447.85,4.45,O=C1c2nnc(-c3cccnc3)n2CC(C2CC2)N1Cc1cccc(C(F)(F)F)c1Cl,282.5,6.55,14.62,0.29,2.1,10.25
464.85,5.51,O=C(c1cccc(C(F)(F)F)c1Cl)N1C2CCCC1c1nnc(-c3ccc(F)cc3)n1C2,132.7,6.88,14.79,0.29,1.37,13.48
372.25,4.38,O=C(c1cccc(Cl)c1Cl)N1CCc2c(ncn2-c2ccccc2)C1,4477.1,5.35,14.37,0.29,0.97,14.03
